Feature,Importance
Est-561210,0.0
Pay-561210,0.0
Emp-561311,0.0
Est-561311,0.0
Pay-561311,0.0
Emp-561312,0.0
Est-561312,0.0
Pay-561312,0.0
Emp-561320,0.0
Est-561320,0.0
Pay-561320,0.0
Emp-561330,0.0
Est-561330,0.0
Pay-561330,0.0
Emp-561410,0.0
Est-561410,0.0
Pay-561410,0.0
Emp-561421,0.0
Est-561421,0.0
Pay-561421,0.0
Emp-561422,0.0
Est-561422,0.0
Pay-561422,0.0
Emp-561431,0.0
Est-561431,0.0
Pay-561431,0.0
Emp-561439,0.0
Est-561439,0.0
Pay-561439,0.0
Emp-561440,0.0
Est-561440,1.0
Pay-561440,0.0
Emp-561492,0.0
Est-561492,0.0
Pay-561492,0.0
Emp-561499,0.0
Est-561499,0.0
Pay-561499,0.0
Emp-561510,0.0
Est-561510,0.0
Pay-561510,0.0
Emp-561520,0.0
Est-561520,0.0
Pay-561520,0.0
Emp-561591,0.0
Est-561591,0.0
Pay-561591,0.0
Emp-561599,0.0
Est-561599,0.0
Pay-561599,0.0
Emp-561611,0.0
Est-561611,0.0
Pay-561611,0.0
Emp-561612,0.0
Est-561612,0.0
Pay-561612,0.0
Emp-561621,0.0
Est-561621,0.0
Pay-561621,0.0
Emp-561622,0.0
Est-561622,0.0
Pay-561622,0.0
Emp-561710,0.0
Est-561710,0.0
Pay-561710,0.0
Emp-561720,0.0
Est-561720,0.0
Pay-561720,0.0
Emp-561730,0.0
Est-561730,0.0
Pay-561730,0.0
Emp-561740,0.0
Est-561740,0.0
Pay-561740,0.0
Emp-561790,0.0
Est-561790,0.0
Pay-561790,0.0
Emp-561920,0.0
Est-561920,0.0
Pay-561920,0.0
Emp-561990,0.0
Est-561990,0.0
Pay-561990,0.0
Emp-562111,0.0
Est-562111,0.0
Pay-562111,0.0
Emp-562211,0.0
Est-562211,0.0
Pay-562211,0.0
Emp-562910,0.0
Est-562910,0.0
Pay-562910,0.0
Emp-562920,0.0
Est-562920,0.0
Pay-562920,0.0
Emp-562991,0.0
Est-562991,0.0
Pay-562991,0.0
Emp-562998,0.0
Est-562998,0.0
Pay-562998,0.0
Emp-611110,0.0
Est-611110,0.0
Pay-611110,0.0
Emp-611310,0.0
Est-611310,0.0
Pay-611310,0.0
Emp-611420,0.0
Est-611420,0.0
Pay-611420,0.0
Emp-611430,0.0
Est-611430,0.0
Pay-611430,0.0
Emp-611519,0.0
Est-611519,0.0
Pay-611519,0.0
Emp-611610,0.0
Est-611610,0.0
Pay-611610,2.0
Emp-611620,0.0
Est-611620,0.0
Pay-611620,0.0
Emp-611691,0.0
Est-611691,0.0
Pay-611691,0.0
Emp-611692,0.0
Est-611692,0.0
Pay-611692,0.0
Emp-611699,0.0
Est-611699,0.0
Pay-611699,0.0
Emp-611710,0.0
Est-611710,0.0
Pay-611710,0.0
Emp-621111,0.0
Est-621111,0.0
Pay-621111,0.0
Emp-621112,0.0
Est-621112,0.0
Pay-621112,0.0
Emp-621210,0.0
Est-621210,0.0
Pay-621210,0.0
Emp-621310,0.0
Est-621310,0.0
Pay-621310,6.0
Emp-621320,0.0
Est-621320,0.0
Pay-621320,0.0
Emp-621330,0.0
Est-621330,0.0
Pay-621330,0.0
Emp-621340,0.0
Est-621340,1.0
Pay-621340,0.0
Emp-621391,0.0
Est-621391,0.0
Pay-621391,0.0
Emp-621399,0.0
Est-621399,0.0
Pay-621399,0.0
Emp-621410,0.0
Est-621410,0.0
Pay-621410,0.0
Emp-621420,0.0
Est-621420,0.0
Pay-621420,0.0
Emp-621491,0.0
Est-621491,0.0
Pay-621491,0.0
Emp-621492,0.0
Est-621492,0.0
Pay-621492,0.0
Emp-621493,0.0
Est-621493,0.0
Pay-621493,0.0
Emp-621498,0.0
Est-621498,0.0
Pay-621498,0.0
Emp-621511,0.0
Est-621511,0.0
Pay-621511,0.0
Emp-621512,0.0
Est-621512,0.0
Pay-621512,0.0
Emp-621610,0.0
Est-621610,0.0
Pay-621610,0.0
Emp-621910,0.0
Est-621910,1.0
Pay-621910,0.0
Emp-621999,0.0
Est-621999,0.0
Pay-621999,0.0
Emp-622110,0.0
Est-622110,0.0
Pay-622110,0.0
Emp-623110,0.0
Est-623110,0.0
Pay-623110,0.0
Emp-623210,0.0
Est-623210,0.0
Pay-623210,0.0
Emp-623220,0.0
Est-623220,0.0
Pay-623220,0.0
Emp-623311,1.0
Est-623311,2.0
Pay-623311,1.0
Emp-623312,0.0
Est-623312,1.0
Pay-623312,0.0
Emp-623990,0.0
Est-623990,0.0
Pay-623990,0.0
Emp-624110,0.0
Est-624110,0.0
Pay-624110,0.0
Emp-624120,0.0
Est-624120,0.0
Pay-624120,0.0
Emp-624190,0.0
Est-624190,0.0
Pay-624190,0.0
Emp-624210,0.0
Est-624210,0.0
Pay-624210,0.0
Emp-624221,0.0
Est-624221,0.0
Pay-624221,0.0
Emp-624229,0.0
Est-624229,0.0
Pay-624229,0.0
Emp-624230,0.0
Est-624230,0.0
Pay-624230,0.0
Emp-624310,0.0
Est-624310,2.0
Pay-624310,0.0
Emp-624410,0.0
Est-624410,0.0
Pay-624410,1.0
Emp-711110,0.0
Est-711110,0.0
Pay-711110,0.0
Emp-711130,0.0
Est-711130,0.0
Pay-711130,0.0
Emp-711219,0.0
Est-711219,0.0
Pay-711219,0.0
Emp-711310,0.0
Est-711310,0.0
Pay-711310,0.0
Emp-711320,0.0
Est-711320,0.0
Pay-711320,0.0
Emp-711510,0.0
Est-711510,0.0
Pay-711510,0.0
Emp-712110,0.0
